application_num,decision_date,offloading_port_cleaned_EN,loading_port_cleaned_EN,fuel_amount_clean,fuel_type_clean_EN,lon,lat,Origin,dest_lon,dest_lat,Destination,,exporter_proxy,importer_proxy
1,10/20/2018,"Mukalla, Yemen",,5000,Petrol,,,,49.127197,14.5404328,"Mukalla, Yemen",,,3
2,10/20/2018,"Mukalla, Yemen",,8760,Petrol,,,,49.127197,14.5404328,"Mukalla, Yemen",,,3
3,10/20/2018,"Hodeida, Yemen",,10026,Petrol,,,,43.752860,13.526220,"Hodeida, Yemen",,,3
4,10/20/2018,"Hodeida, Yemen",,17497,Diesel,,,,43.752860,13.526220,"Hodeida, Yemen",,,3
5,10/20/2018,"Hodeida, Yemen",,7498,Petrol,,,,43.752860,13.526220,"Hodeida, Yemen",,,2
6,10/26/2018,"Nishtun, Yemen",,23760,Diesel,,,,44.201960,15.361980,"Nishtun, Yemen",,,5
7,10/29/2018,"Hodeida, Yemen",,30432,Diesel,,,,43.752860,13.526220,"Hodeida, Yemen",,,3
8,10/29/2018,"Hodeida, Yemen",,,Petrol,,,,43.752860,13.526220,"Hodeida, Yemen",,,29
9,11/2/2018,"Hodeida, Yemen",,17510,Diesel,,,,43.752860,13.526220,"Hodeida, Yemen",,,28
10,11/5/2018,"Aden, Yemen",,15426,Diesel,,,,45.035469,12.809800,"Hodeida, Yemen",,,16
11,11/8/2018,"Nishtun, Yemen",,23760,Diesel,,,,44.201960,15.361980,"Nishtun, Yemen",,,16
12,11/16/2018,"Nishtun, Yemen",,2945,Diesel,,,,44.201960,15.361980,"Nishtun, Yemen",,,5
13,11/16/2018,"Aden, Yemen",,89977,Diesel,,,,45.035469,12.809800,"Hodeida, Yemen",,J,29
14,11/16/2018,"Aden, Yemen",,1004,Aircraft fuel,,,,45.035469,12.809800,"Hodeida, Yemen",,,7
15,11/21/2018,"Mukalla, Yemen",,6400,Diesel,,,,49.127197,14.5404328,"Mukalla, Yemen",,,29
16,11/25/2018,"Hodeida, Yemen",,24101,Petrol,,,,43.752860,13.526220,"Hodeida, Yemen",,,3
17,11/30/2018,"Mukalla, Yemen",,9967,Diesel,,,,49.127197,14.5404328,"Mukalla, Yemen",,,3
18,12/3/2018,"Hodeida, Yemen",,13587,Diesel,,,,43.752860,13.526220,"Hodeida, Yemen",,,29
19,12/3/2018,"Hodeida, Yemen",,5095,Petrol,,,,43.752860,13.526220,"Hodeida, Yemen",,,2
20,12/4/2018,"Nishtun, Yemen",,3538,Petrol,,,,44.201960,15.361980,"Nishtun, Yemen",,J,29
21,12/5/2018,"Mukalla, Yemen",,3396,Diesel,,,,49.127197,14.5404328,"Mukalla, Yemen",,,2
22,12/6/2018,"Nishtun, Yemen",,3100,Diesel,,,,44.201960,15.361980,"Nishtun, Yemen",,,5
23,12/8/2018,"Aden, Yemen",,61449,Petrol,,,,45.035469,12.809800,"Hodeida, Yemen",,L,27
