application_num,decision_date,fuel_amount_clean,fuel_type_clean_EN,lon,lat,Origin,dest_lon,dest_lat,Destination,exporter_proxy,importer_proxy
1,10/20/2018,5000,Petrol,,,,49.123680,14.543720,"Mukalla, Yemen",,3
10,11/8/2018,23760,Diesel,,,,44.201960,15.361980,"Nishtun, Yemen",,3
100,3/28/2019,2770,Diesel,,,,49.123680,14.543720,"Mukalla, Yemen",,3
100,3/28/2019,7186,Petrol,,,,49.123680,14.543720,"Mukalla, Yemen",,3
101,3/29/2019,43942,Diesel,,,,45.035469,12.809800,"Aden, Yemen",,2
102,4/1/2019,4000,Diesel,,,,44.201960,15.361980,"Nishtun, Yemen",,5
103,4/2/2019,3340,Diesel,,,,49.123680,14.543720,"Mukalla, Yemen",,3
104,4/3/2019,3000,Diesel,,,,44.201960,15.361980,"Nishtun, Yemen",,29
105,4/4/2019,3805,Diesel,,,,43.752860,13.526220,"Hodeida, Yemen",,28
106,4/9/2019,3990,Diesel,,,,49.123680,14.543720,"Mukalla, Yemen",,16
106,4/9/2019,9985,Petrol,,,,49.123680,14.543720,"Mukalla, Yemen",,16
107,4/9/2019,3700,Diesel,,,,44.201960,15.361980,"Nishtun, Yemen",,5
108,4/16/2019,9555,Petrol,55.420933,25.346254,"Sharjah, UAE",43.752860,13.526220,"Hodeida, Yemen",J,29
109,4/9/2019,15000,Mazout,,,,43.752860,13.526220,"Hodeida, Yemen",,7
11,11/16/2018,2945,Diesel,,,,44.201960,15.361980,"Nishtun, Yemen",,29
110,4/11/2019,10675,Petrol,,,,49.123680,14.543720,"Mukalla, Yemen",,3
111,4/11/2019,4480,Diesel,,,,49.123680,14.543720,"Mukalla, Yemen",,3
112,4/11/2019,4741,Petrol,,,,44.201960,15.361980,"Nishtun, Yemen",,29
113,4/15/2019,60435,Petrol,,,,45.035469,12.809800,"Aden, Yemen",,2
114,6/4/2019,29971,Diesel,55.420933,25.346254,"Sharjah, UAE",43.752860,13.526220,"Hodeida, Yemen",J,29
115,4/17/2019,37014,Mazout,,,,45.035469,12.809800,"Aden, Yemen",,2
116,4/17/2019,2500,Diesel,,,,44.201960,15.361980,"Nishtun, Yemen",,5
117,4/18/2019,14998,Diesel,56.346218,25.144190,"Fujairah, UAE",43.752860,13.526220,"Hodeida, Yemen",L,27
119,4/18/2019,60675,Diesel,56.346218,25.144190,"Fujairah, UAE",45.035469,12.809800,"Aden, Yemen",K,2
119,4/18/2019,2266,Jet fuel,56.346218,25.144190,"Fujairah, UAE",45.035469,12.809800,"Aden, Yemen",K,2
12,11/16/2018,89977,Diesel,,,,45.035469,12.809800,"Aden, Yemen",,1
12,11/16/2018,1004,Aircraft fuel,,,,45.035469,12.809800,"Aden, Yemen",,1
121,4/22/2019,3871,Petrol,56.752079,24.325871,"Sohar, Oman",43.752860,13.526220,"Hodeida, Yemen",T,24
122,4/22/2019,11380,Petrol,56.752079,24.325871,"Sohar, Oman",49.123680,14.543720,"Mukalla, Yemen",W,3
123,4/24/2019,17999,Diesel,56.346218,25.144190,"Fujairah, UAE",43.752860,13.526220,"Hodeida, Yemen",P,20
123,4/24/2019,10000,Petrol,56.346218,25.144190,"Fujairah, UAE",43.752860,13.526220,"Hodeida, Yemen",P,20
124,4/24/2019,11394,Diesel,56.346218,25.144190,"Fujairah, UAE",43.752860,13.526220,"Hodeida, Yemen",P,20
