application_num,decision_date,offloading_port_cleaned_EN,loading_port_cleaned_EN,fuel_amount_clean,fuel_type_clean_EN,lon,lat,Origin,dest_lat,dest_lon,Destination,exporter_proxy,importer_proxy
99,3/23/2019,Hodeida,,29992,Diesel,,,,14.7909118,42.9708838,Hodeida,,25
98,3/23/2019,Hodeida,,30564,Petrol,,,,14.7909118,42.9708838,Hodeida,,7
97,3/24/2019,Nishtun,,4200,Diesel,,,,15.8224426,52.1872488,Nishtun,,5
96,3/21/2019,Mukalla,,2238,Diesel,,,,14.5404328,49.127197,Mukalla,,3
95,3/19/2019,Hodeida,,30834,Diesel,,,,14.7909118,42.9708838,Hodeida,,25
94,3/18/2019,Hodeida,,20896,Diesel,,,,14.7909118,42.9708838,Hodeida,,9
93,3/18/2019,Nishtun,,4000,Diesel,,,,15.8224426,52.1872488,Nishtun,,5
92,3/15/2019,Hodeida,,11631,Diesel,,,,14.7909118,42.9708838,Hodeida,,29
91,3/15/2019,Nishtun,,2900,Diesel,,,,15.8224426,52.1872488,Nishtun,,5
90,3/13/2019,Nishtun,,3100,Diesel,,,,15.8224426,52.1872488,Nishtun,,5
9,11/5/2018,Aden,,15426,Diesel,,,,12.7854969,45.0186548,Aden,,27
89,3/10/2019,Mukalla,,2178,Diesel,,,,14.5404328,49.127197,Mukalla,,3
88,3/8/2019,Hodeida,,13608,Petrol,,,,14.7909118,42.9708838,Hodeida,,13
87,3/7/2019,Hodeida,,15696,Petrol,,,,14.7909118,42.9708838,Hodeida,,7
86,3/7/2019,Mukalla,,7136,Diesel,,,,14.5404328,49.127197,Mukalla,,3
85,3/7/2019,Hodeida,,10824,Diesel,,,,14.7909118,42.9708838,Hodeida,,14
84,3/6/2019,Hodeida,,25162,Diesel,,,,14.7909118,42.9708838,Hodeida,,21
83,3/6/2019,Nishtun,,3100,Diesel,,,,15.8224426,52.1872488,Nishtun,,5
82,3/3/2019,Aden,,60036,Diesel,,,,12.7854969,45.0186548,Aden,,2
81,3/1/2019,Hodeida,,4800,Gas,,,,14.7909118,42.9708838,Hodeida,,20
80,2/25/2019,Mukalla,,3951,Mazout,,,,14.5404328,49.127197,Mukalla,,3
8,11/2/2018,Hodeida,,17510,Diesel,,,,14.7909118,42.9708838,Hodeida,,20
8,11/2/2018,Hodeida,,,,,,,14.7909118,42.9708838,Hodeida,,20
79,2/23/2019,Hodeida,,24132,Petrol,,,,14.7909118,42.9708838,Hodeida,,25
78,2/23/2019,Mukalla,,9970,Petrol,,,,14.5404328,49.127197,Mukalla,,3
77,2/23/2019,Hodeida,,13578,Diesel,,,,14.7909118,42.9708838,Hodeida,,29
77,2/23/2019,Hodeida,,5696,Petrol,,,,14.7909118,42.9708838,Hodeida,,29
76,2/21/2019,Hodeida,,11509,Diesel,,,,14.7909118,42.9708838,Hodeida,,29
75,2/21/2019,Hodeida,,11981,Diesel,,,,14.7909118,42.9708838,Hodeida,,27
74,2/15/2019,Hodeida,,10280,Petrol,,,,14.7909118,42.9708838,Hodeida,,10
74,2/15/2019,Hodeida,,17398,Diesel,,,,14.7909118,42.9708838,Hodeida,,10
73,2/15/2019,Aden,,61001,Petrol,,,,12.7854969,45.0186548,Aden,,2
72,2/11/2019,Aden,,5000,Diesel,,,,12.7854969,45.0186548,Aden,,27
71,2/7/2019,Mukalla,,11873,Diesel,,,,14.5404328,49.127197,Mukalla,,3
